"","lizard_id","position","species","sex","trt","clutch","egg_enclosure","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"122",1371,"D3","guichenoti","Male","A_23","CL370_22","E016_F120",94,"27/3/2023","13/4/2023",17,"B_R",2,"C",NA,"",0,2,"R",0,1,"",NA,"Cold","Control"
"123",1609,"A4","guichenoti","Female","A_28","CL437_22","E016_F120",101,"25/3/2023","13/4/2023",19,"B_R",2,"C",0,"",1,2,"R",1,1,"",NA,"Hot","Control"
"124",1233,"B2","delicata","Female","B_23","CL327_22","E016_M",115,"31/3/2023","13/4/2023",13,"B_R",2,"L",NA,"More than one cricket eaten",0,2,"L",1,1,"",NA,"Cold","CORT"
"125",1230,"F1","delicata","Female","B_28","CL327_22","E016_M",132,"29/3/2023","13/4/2023",15,"B_R",2,"R",0,"",1,2,"R",0,1,"",NA,"Hot","CORT"
"126",1328,"G2","delicata","Male","A_23","CL357_22","E016_M",108,"5/4/2023","13/4/2023",8,"R_B",2,"R",NA,"",0,2,"C",1,1,"",NA,"Cold","Control"
"127",1174,"E2","delicata","Male","A_23","CL313_22","E019_F120",132,"31/3/2023","13/4/2023",13,"R_B",2,"L",0,"",1,2,"R",1,1,"",NA,"Cold","Control"
"128",1172,"E4","delicata","Male","B_28","CL313_22","E019_F120",148,"10/4/2023","13/4/2023",3,"R_B",2,"C",NA,"",0,2,"R",1,0,"Correct choice but did not eat",NA,"Hot","CORT"
"129",1382,"A1","delicata","Female","B_28","CL373_22","E019_M",118,"1/4/2023","13/4/2023",12,"B_R",2,"R",1,"",1,2,"C",0,0,"",NA,"Hot","CORT"
"130",1381,"A3","delicata","Male","A_28","CL373_22","E019_M",122,"30/3/2023","13/4/2023",14,"R_B",2,"C",NA,"",0,2,"C",1,1,"",NA,"Hot","Control"
"131",1240,"B2","delicata","Female","A_28","CL330_22","E020_F120",132,"30/3/2023","13/4/2023",14,"B_R",2,"C",NA,"",0,2,"C",0,0,"",NA,"Hot","Control"
"132",1619,"G4","delicata","Female","B_23","CL440_22","E020_F120",80,"7/4/2023","13/4/2023",6,"R_B",2,"C",0,"",1,2,"C",1,1,"",NA,"Cold","CORT"
"133",2255,"E2","delicata","Female","B_28","CL607_22","E020_F120",66,"2/4/2023","13/4/2023",11,"B_R",2,"C",NA,"",0,2,"C",0,1,"",NA,"Hot","CORT"
"134",2486,"F3","delicata","Female","B_28","CL677_23","E020_M",45,"2/4/2023","13/4/2023",11,"B_R",2,"C",1,"",1,2,"C",0,0,"",NA,"Hot","CORT"
"135",1454,"C4","delicata","Female","B_28","CL392_22","E021_M",115,"28/3/2023","13/4/2023",16,"R_B",2,"C",0,"",1,2,"L",1,1,"",NA,"Hot","CORT"
